"participant","TD_trial_number","TD_target_position","TD_rt","attention_state","TD_within_triplet_counter"
"5a8f13595292b80001235e09",5,6,405.700000047684,"fast","2"
"5a8f13595292b80001235e09",6,7,399.799999952316,"slow","1"
"5a8f13595292b80001235e09",7,8,408.899999976158,"fast","3"
"5a8f13595292b80001235e09",8,5,400.400000095367,"fast","1"
"5a8f13595292b80001235e09",9,8,373.900000095367,"fast","2"
"5a8f13595292b80001235e09",10,8,386.700000047684,"slow","3"
"5a8f13595292b80001235e09",12,5,379.600000023842,"slow","2"
"5a8f13595292b80001235e09",13,7,574.099999904633,"slow","3"
"5a8f13595292b80001235e09",14,6,432.5,"slow","3"
"5a8f13595292b80001235e09",15,8,376.899999976158,"slow","2"
"5a8f13595292b80001235e09",16,7,730.899999976158,"slow","2"
"5a8f13595292b80001235e09",17,7,409.200000047684,"fast","3"
"5a8f13595292b80001235e09",18,6,674.900000095367,"slow","2"
"5a8f13595292b80001235e09",19,9,441.599999904633,"fast","3"
"5a8f13595292b80001235e09",20,5,470.200000047684,"slow","1"
"5a8f13595292b80001235e09",21,5,416.5,"fast","2"
"5a8f13595292b80001235e09",22,4,470.5,"slow","1"
"5a8f13595292b80001235e09",23,6,574.5,"fast","1"
"5a8f13595292b80001235e09",24,4,452.799999952316,"fast","1"
"5a9998a14eecca0001dd791e",1,8,396.700000047684,"fast","3"
"5a9998a14eecca0001dd791e",3,7,372.099999904633,"slow","2"
"5a9998a14eecca0001dd791e",4,8,370.599999904633,"slow","2"
"5a9998a14eecca0001dd791e",5,8,362.5,"fast","2"
"5a9998a14eecca0001dd791e",6,4,377.800000071526,"slow","1"
"5a9998a14eecca0001dd791e",7,8,332.900000095367,"slow","3"
"5a9998a14eecca0001dd791e",8,7,372.799999952316,"fast","2"
"5a9998a14eecca0001dd791e",9,6,388.399999976158,"fast","3"
"5a9998a14eecca0001dd791e",10,5,355.399999976158,"slow","2"
"5a9998a14eecca0001dd791e",11,6,339.299999952316,"fast","1"
"5a9998a14eecca0001dd791e",12,9,351.799999952316,"slow","3"
"5a9998a14eecca0001dd791e",13,5,383.799999952316,"slow","1"
"5a9998a14eecca0001dd791e",14,6,409.399999856949,"slow","1"
"5a9998a14eecca0001dd791e",15,6,372.699999928474,"slow","2"
"5a9998a14eecca0001dd791e",16,9,420.200000166893,"fast","3"
"5a9998a14eecca0001dd791e",17,7,394.899999976158,"slow","1"
"5a9998a14eecca0001dd791e",18,7,342.699999928474,"fast","1"
"5a9998a14eecca0001dd791e",19,5,382.300000071526,"fast","1"
"5a9998a14eecca0001dd791e",20,7,362.199999928474,"fast","3"
"5a9998a14eecca0001dd791e",22,5,335.899999976158,"fast","2"
"5a9998a14eecca0001dd791e",23,6,346.100000023842,"slow","3"
"5a9998a14eecca0001dd791e",24,7,393.399999976158,"slow","3"
"5af1c437bfb51a000181d170",1,5,355.5,"slow","1"
"5af1c437bfb51a000181d170",2,9,388.200000047684,"slow","3"
"5af1c437bfb51a000181d170",3,6,341.599999904633,"fast","3"
"5af1c437bfb51a000181d170",4,5,354.099999904633,"fast","1"
"5af1c437bfb51a000181d170",5,6,354.799999952316,"slow","3"
"5af1c437bfb51a000181d170",6,4,332.800000190735,"fast","1"
"5af1c437bfb51a000181d170",8,7,355.899999856949,"slow","3"
"5af1c437bfb51a000181d170",9,7,435.400000095367,"slow","1"
"5af1c437bfb51a000181d170",10,8,488.500000238419,"fast","2"
"5af1c437bfb51a000181d170",11,5,394.899999856949,"slow","2"
"5af1c437bfb51a000181d170",12,7,390.600000143051,"slow","2"
"5af1c437bfb51a000181d170",13,5,364.700000047684,"fast","2"
"5af1c437bfb51a000181d170",14,7,338,"fast","1"
"5af1c437bfb51a000181d170",15,8,419.099999904633,"fast","3"
"5af1c437bfb51a000181d170",16,6,382.099999904633,"slow","1"
